location,report_date,season,season_week,total_mosquito,culex_annulirostris,aedes_vigilax,mos_sindbis,mos_ross_river,mos_kunjin,mos_edge_hill,mos_barmah_forest,mos_stratford,mos_kokobera,mos_unknown,mos_murray_valley_encephalitis,sc_num_tested,sc_num_pos,sc_murray_valley_encephalitis,sc_kunjin,sc_japanese_encephalitis,rain_cumulative,temperature_max_avg,temperature_max,temperature_min_avg,temperature_min
Ballina,1991-10-05,1991/1992,14,,,,,,,,,,,,,,,,,,0.02,26.5,29.2,14.3,11.8
Ballina,1991-10-12,1991/1992,15,,,,,,,,,,,,,,,,,,69.57,24.8,29.3,14.9,12.6
Ballina,1991-10-19,1991/1992,16,,,,,,,,,,,,,,,,,,0.59,25.1,32.1,16.2,14.1
Ballina,1991-10-26,1991/1992,17,,,,,,,,,,,,,,,,,,6.58,24,27.2,15.7,12.6
Ballina,1991-11-02,1991/1992,18,28,1,10,,,,,,,,,,,,,,,29.07,23.6,29.6,14.3,11.7
Ballina,1991-11-09,1991/1992,19,59,4,5,,,,,,,,,,,,,,,3.02,27.2,32.8,17.9,16.1
Ballina,1991-11-16,1991/1992,20,168,1,53,,,,,,,,,,,,,,,15.49,25.4,26.9,17.2,15.4
Ballina,1991-11-23,1991/1992,21,113,0,18,,,,,,,,,,,,,,,28.15,24.6,30,16,14.7
Ballina,1991-11-30,1991/1992,22,294,0,16,,,,,,,,,,,,,,,4.09,26.3,31.1,16.7,13.4
Ballina,1991-12-07,1991/1992,23,51,2,8,,,,,,,,,,,,,,,33.69,25.4,29.8,17,15.7
Ballina,1991-12-14,1991/1992,24,349,7,71,,,,,,,,,,,,,,,185.83,25.4,27.5,17.4,14.2
Ballina,1991-12-21,1991/1992,25,272,0,36,,,,,,,,,,,,,,,8.91,29.9,32,19.6,17.5
Ballina,1991-12-28,1991/1992,26,,,,,,,,,,,,,,,,,,18.22,26.8,31.9,17.3,15.4
Ballina,1992-01-04,1991/1992,27,,,,,,,,,,,,,,,,,,71.37,27.7,29.2,20.4,18.7
Ballina,1992-01-11,1991/1992,28,242,1,22,,,,,,,,,,,,,,,33.63,29.6,31.1,19.8,16.7
Ballina,1992-01-18,1991/1992,29,220,2,34,,,,,,,,,,,,,,,8.24,27.2,29.6,19.8,18.5
Ballina,1992-01-25,1991/1992,30,532,2,38,,,,,,,,,,,,,,,12.98,28.1,28.7,20.7,18.8
Ballina,1992-02-01,1991/1992,31,588,6,93,,,,,,,,,,,,,,,49.94,27.5,30,20.1,19.2
Ballina,1992-02-08,1991/1992,32,340,1,65,,,,,,,,,,,,,,,19.12,28.8,30.5,20.3,18.7
Ballina,1992-02-15,1991/1992,33,519,10,83,,,,,,,,,,,,,,,63.72,28,30.4,20.9,19.2
Ballina,1992-02-22,1991/1992,34,93,2,4,,,,,,,,,,,,,,,33.3,26.7,31.1,20.5,18
Ballina,1992-02-29,1991/1992,35,800,28,124,,,,,,,,,,,,,,,36.95,27.1,30.9,21.1,18.5
Ballina,1992-03-07,1991/1992,36,679,8,72,,,,,,,,,,,,,,,23.55,26.6,27.8,18,17.2
Ballina,1992-03-14,1991/1992,37,883,4,53,,,,,,,,,,,,,,,24.57,26.3,26.9,19,18.6
Ballina,1992-03-21,1991/1992,38,622,10,28,,,,,,,,,,,,,,,70.94,25.7,28.1,18.3,15.4
Ballina,1992-03-28,1991/1992,39,838,31,40,,1,,,,,,,,,,,,,33.32,27.1,29.8,18.4,16.3
Ballina,1992-04-04,1991/1992,40,1393,9,58,,1,,,,,,,,,,,,,51.88,26.6,29.2,20,19.6
Ballina,1992-04-11,1991/1992,41,161,1,5,,,,,,,,,,,,,,,77.91,23.6,25.6,16.8,14.8
Ballina,1992-04-18,1991/1992,42,468,6,23,,,,,,,,,,,,,,,26.53,24.3,26.1,15.3,14
Ballina,1992-04-25,1991/1992,43,418,15,15,,,,,,,,,,,,,,,19.92,23.4,24.6,15.9,14.6
