location,report_date,season,season_week,total_mosquito,culex_annulirostris,aedes_vigilax,mos_sindbis,mos_ross_river,mos_kunjin,mos_edge_hill,mos_barmah_forest,mos_stratford,mos_kokobera,mos_unknown,mos_murray_valley_encephalitis,mos_japanese_enc,sc_num_tested,sc_num_pos,sc_murray_valley_encephalitis,sc_kunjin,sc_japanese_encephalitis,rain_cumulative,temperature_max_avg,temperature_max,temperature_min_avg,temperature_min,location_mosquito,location_chicken
Albury,2019-11-30,2019/2020,22,576,143,779,1,1,1,1,1,0,0,1,0,0,1,0,1,1,1,2.61,29.1,34.5,9.9,4.8,1,
Albury,2019-12-07,2019/2020,23,577,169,821,0,1,1,1,1,0,1,1,0,1,1,0,1,1,1,13.49,21.9,27.3,9.9,6.4,1,
Albury,2019-12-14,2019/2020,24,556,145,718,0,0,1,1,1,0,1,0,1,1,1,1,0,0,1,0,31.4,36.3,11.6,8.2,1,
Albury,2019-12-21,2019/2020,25,488,147,842,1,0,1,0,1,0,1,1,0,0,0,1,1,1,0,0,35.4,41.8,15.9,12.9,1,
Albury,2019-12-28,2019/2020,26,552,143,748,1,1,0,1,0,1,0,1,1,0,1,1,0,0,0,0.04,36.2,40.2,17.9,14.6,1,
Albury,2020-01-04,2019/2020,27,582,163,813,1,1,1,1,0,0,1,0,0,0,1,0,1,1,1,0,37.1,41.9,19.8,14.5,1,
Albury,2020-01-11,2019/2020,28,529,146,735,1,0,1,1,0,1,0,1,1,0,0,0,1,1,0,3.2,33.5,45.4,18.6,15.3,1,
Albury,2020-01-18,2019/2020,29,548,161,819,0,1,0,0,0,1,0,1,0,1,0,1,0,1,1,0.06,32.2,34.9,16.2,13.1,1,
Albury,2020-01-25,2019/2020,30,517,173,757,1,1,0,1,0,0,1,0,0,1,0,0,0,1,1,31.96,28,35.3,16.4,10.9,1,
Albury,2020-02-01,2019/2020,31,569,154,809,1,0,0,0,0,1,1,0,0,1,0,1,1,0,1,0,36.7,45.2,16,11.9,1,
Albury,2020-02-08,2019/2020,32,518,159,749,0,0,1,1,0,1,0,1,1,1,1,0,1,1,0,1.86,31.2,41.7,17.5,10.9,1,
