location,report_date,season,season_week,total_mosquito,culex_annulirostris,aedes_vigilax,mos_sindbis,mos_ross_river,mos_kunjin,mos_edge_hill,mos_barmah_forest,mos_stratford,mos_kokobera,mos_unknown,mos_murray_valley_encephalitis,sc_num_tested,sc_num_pos,sc_murray_valley_encephalitis,sc_kunjin,sc_japanese_encephalitis,rain_cumulative,temperature_max_avg,temperature_max,temperature_min_avg,temperature_min
Albury,2021-02-20,2020/2021,34,101,83.5,0,,,,,,,,,,,,,,,4.58,29.4,31,15.1,14.3
Ballina,2021-02-20,2020/2021,34,330,33.33333333,2.333333333,,,,,,,,,,,,,,,113.85,26.3,30.7,19.9,18.3
Bankstown,2021-02-20,2020/2021,34,198,0,176.5,,,,,,,,,,,,,,,46.23,24.9,27.7,18,16.2
Bellingen,2021-02-20,2020/2021,34,,,,,,,,,,,,,,,,,,145.99,23,23.9,16.3,14.2
Blacktown,2021-02-20,2020/2021,34,17.5,0.5,0,,,,,,,,,,,,,,,57.89,25.2,28.1,17.5,16
Bourke,2021-02-20,2020/2021,34,1,0,0,,,,,,,,,,29,0,0,0,0,17.56,32.5,35.1,20.6,18.1
Byron Bay,2021-02-20,2020/2021,34,,,,,,,,,,,,,,,,,,158.46,25.9,29.8,19.6,18.2
Canada Bay,2021-02-20,2020/2021,34,60.5,0,33,,,,,,,,,,,,,,,44.3,24.6,27.1,18.4,16.8
Casino,2021-02-20,2020/2021,34,,,,,,,,,,,,,,,,,,82.83,26.8,30.9,18.9,17.5
Central Coast,2021-02-20,2020/2021,34,71.2,3.4,9.2,,,,,,,,,,,,,,,81.65,24.1,26.2,17.5,16.3
Clarence Valley,2021-02-20,2020/2021,34,18,1,15,,,,,,,,,,,,,,,48.57,25.3,26.8,17.3,14.5
Coffs Harbour,2021-02-20,2020/2021,34,20.5,5,0.5,,,,,,,,,,,,,,,146.43,25,26.1,18.1,16.4
Forbes,2021-02-20,2020/2021,34,190.5,112,0,,,,,,,,,,14,0,0,0,0,19.93,29.5,32.3,15.7,13.7
Georges River,2021-02-20,2020/2021,34,945.5,0,925.5,,,,,,,,,,,,,,,47.75,24.6,27.6,18.2,16.4
Griffith,2021-02-20,2020/2021,34,766.5,626,0,,,,,,,,,,15,0,0,0,0,0,31.7,34.6,16.8,14.2
Hawkesbury,2021-02-20,2020/2021,34,92.5,13.25,0,,,,,,,,,,,,,,,54.86,24.2,26.8,16.3,14.6
Hills Shire,2021-02-20,2020/2021,34,32.33333,2,0,,,,,,,,,,,,,,,49.86,24.7,27.3,17.3,15.9
Kempsey,2021-02-20,2020/2021,34,30,27,0,,,,,,,,,,,,,,,83.22,24.8,25.8,17.3,15.3
Lake Cathie,2021-02-20,2020/2021,34,1251,539,36,,,,,,,,,,,,,,,133.9,23.8,24.6,17.2,15.5
Lake Macquarie,2021-02-20,2020/2021,34,,,,,,,,,,,,,,,,,,101.94,24.6,26.5,18,16.6
Leeton,2021-02-20,2020/2021,34,121.5,95.5,0,,,,,,,,,,15,0,0,0,0,0.07,31.4,34.4,16.8,14.5
Liverpool,2021-02-20,2020/2021,34,23,0,0,,,,,,,,,,,,,,,46.02,25.3,28.4,17.2,15.3
Macquarie Marshes,2021-02-20,2020/2021,34,,,,,,,,,,,,,30,0,0,0,0,28.24,30.3,32.4,17.6,16
Mullumbimby,2021-02-20,2020/2021,34,16,2,1,,,,,,,,,,,,,,,158.46,25.9,29.8,19.6,18.2
Nambucca,2021-02-20,2020/2021,34,,,,,,,,,,,,,,,,,,114.54,25.4,26.2,17.8,16.1
Narooma,2021-02-20,2020/2021,34,6,0,1,,,,,,,,,,,,,,,14.01,22.9,25.2,14.5,10.7
Northern Beaches,2021-02-20,2020/2021,34,130.5,3.5,0,,,,,,,,,,,,,,,48.93,23.7,25.8,18.2,16.6
Parramatta,2021-02-20,2020/2021,34,966.6667,0,946.6667,,,,,,,,,,,,,,,54.4,24.8,27.3,17.7,16.2
Penrith,2021-02-20,2020/2021,34,225.3333,43,0,,,,,,,,,,,,,,,52.11,25.5,28.6,17.3,15.6
Port Macquarie,2021-02-20,2020/2021,34,54.5,23,2,,1,,,,,,,,,,,,,133.9,23.8,24.6,17.2,15.5
South West Rocks,2021-02-20,2020/2021,34,316,307,4,,,,,,,,,,,,,,,83.22,24.8,25.8,17.3,15.3
Sydney Olympic Park,2021-02-20,2020/2021,34,117.6667,0,68.66667,,,,,,,,,,,,,,,51.62,25.1,27.8,17.7,16.1
Tweed Heads,2021-02-20,2020/2021,34,517,132.6667,56,,,,,,,,,,,,,,,140.04,26.3,30.6,19.2,18.1
Wagga Wagga,2021-02-20,2020/2021,34,57,28,0,,,,,,,,,,,,,,,2.19,28.9,30.8,14.8,13.5
Deniliquin,2021-02-20,2020/2021,34,,,,,,,,,,,,,15,0,0,0,0,0.14,32.4,34.8,16.5,11.2
Dubbo,2021-02-20,2020/2021,34,,,,,,,,,,,,,,,,,,27.01,28.3,29.9,15.2,12.3
Hay,2021-02-20,2020/2021,34,,,,,,,,,,,,,0,0,0,0,0,0.02,32.9,36,17.3,12
Menindee,2021-02-20,2020/2021,34,,,,,,,,,,,,,15,0,0,0,0,1.17,33.9,37.1,19.5,16.2
Moree,2021-02-20,2020/2021,34,,,,,,,,,,,,,15,0,0,0,0,16.93,33.4,34.5,18.6,16
