value,label
2022_2023.csv,2022/2023
2021_2022.csv,2021/2022
2020_2021.csv,2020/2021
2019_2020.csv,2019/2020
2018_2019.csv,2018/2019
2017_2018.csv,2017/2018
2016_2017.csv,2016/2017
2015_2016.csv,2015/2016
2014_2015.csv,2014/2015
2013_2014.csv,2013/2014
2012_2013.csv,2012/2013
2011_2012.csv,2011/2012
2010_2011.csv,2010/2011
2009_2010.csv,2009/2010
2008_2009.csv,2008/2009
2007_2008.csv,2007/2008
2006_2007.csv,2006/2007
2005_2006.csv,2005/2006
2004_2005.csv,2004/2005
2003_2004.csv,2003/2004
2002_2003.csv,2002/2003
2001_2002.csv,2001/2002
2000_2001.csv,2000/2001
1999_2000.csv,1999/2000
1998_1999.csv,1998/1999
1997_1998.csv,1997/1998
1996_1997.csv,1996/1997
1995_1996.csv,1995/1996
1994_1995.csv,1994/1995
1993_1994.csv,1993/1994
1992_1993.csv,1992/1993
1991_1992.csv,1991/1992
1990_1991.csv,1990/1991
